product_id,quantity,date,branch_id
537,1,2025-12-07,3
573,1,2025-12-07,3
543,1,2025-12-07,3
576,1,2025-12-07,3
572,1,2025-12-07,3
552,5,2025-12-07,3
584,2,2025-12-07,3
566,11,2025-12-07,3
583,3,2025-12-07,3
579,1,2025-12-07,3
537,1,2025-12-08,3
573,1,2025-12-08,3
543,2,2025-12-08,3
576,2,2025-12-08,3
572,1,2025-12-08,3
552,6,2025-12-08,3
584,4,2025-12-08,3
566,13,2025-12-08,3
583,4,2025-12-08,3
579,2,2025-12-08,3
537,1,2025-12-09,3
573,1,2025-12-09,3
543,1,2025-12-09,3
576,1,2025-12-09,3
572,1,2025-12-09,3
552,7,2025-12-09,3
584,4,2025-12-09,3
566,16,2025-12-09,3
583,4,2025-12-09,3
579,3,2025-12-09,3
537,1,2025-12-10,3
573,1,2025-12-10,3
543,2,2025-12-10,3
576,2,2025-12-10,3
572,1,2025-12-10,3
552,7,2025-12-10,3
584,5,2025-12-10,3
566,19,2025-12-10,3
583,6,2025-12-10,3
579,3,2025-12-10,3
537,1,2025-12-11,3
573,1,2025-12-11,3
543,2,2025-12-11,3
576,2,2025-12-11,3
572,1,2025-12-11,3
552,8,2025-12-11,3
584,5,2025-12-11,3
566,18,2025-12-11,3
583,6,2025-12-11,3
579,4,2025-12-11,3
537,1,2025-12-12,3
573,1,2025-12-12,3
543,1,2025-12-12,3
576,1,2025-12-12,3
572,1,2025-12-12,3
552,8,2025-12-12,3
584,4,2025-12-12,3
566,16,2025-12-12,3
583,5,2025-12-12,3
579,2,2025-12-12,3
537,1,2025-12-13,3
573,1,2025-12-13,3
543,1,2025-12-13,3
576,1,2025-12-13,3
572,1,2025-12-13,3
552,4,2025-12-13,3
584,2,2025-12-13,3
566,9,2025-12-13,3
583,3,2025-12-13,3
579,1,2025-12-13,3
537,1,2025-12-14,3
573,1,2025-12-14,3
543,1,2025-12-14,3
576,1,2025-12-14,3
572,1,2025-12-14,3
552,4,2025-12-14,3
584,3,2025-12-14,3
566,11,2025-12-14,3
583,3,2025-12-14,3
579,1,2025-12-14,3
537,1,2025-12-15,3
573,1,2025-12-15,3
543,1,2025-12-15,3
576,1,2025-12-15,3
572,1,2025-12-15,3
552,5,2025-12-15,3
584,3,2025-12-15,3
566,16,2025-12-15,3
583,4,2025-12-15,3
579,2,2025-12-15,3
537,1,2025-12-16,3
573,1,2025-12-16,3
543,2,2025-12-16,3
576,1,2025-12-16,3
572,1,2025-12-16,3
552,8,2025-12-16,3
584,5,2025-12-16,3
566,22,2025-12-16,3
583,5,2025-12-16,3
579,2,2025-12-16,3
537,1,2025-12-17,3
573,1,2025-12-17,3
543,2,2025-12-17,3
576,2,2025-12-17,3
572,1,2025-12-17,3
552,7,2025-12-17,3
584,5,2025-12-17,3
566,19,2025-12-17,3
583,7,2025-12-17,3
579,3,2025-12-17,3
537,1,2025-12-18,3
573,1,2025-12-18,3
543,2,2025-12-18,3
576,2,2025-12-18,3
572,1,2025-12-18,3
552,7,2025-12-18,3
584,4,2025-12-18,3
566,16,2025-12-18,3
583,7,2025-12-18,3
579,3,2025-12-18,3
537,1,2025-12-19,3
573,1,2025-12-19,3
543,1,2025-12-19,3
576,2,2025-12-19,3
572,1,2025-12-19,3
552,7,2025-12-19,3
584,4,2025-12-19,3
566,18,2025-12-19,3
583,5,2025-12-19,3
579,2,2025-12-19,3
537,1,2025-12-20,3
573,1,2025-12-20,3
543,1,2025-12-20,3
576,1,2025-12-20,3
572,1,2025-12-20,3
552,4,2025-12-20,3
584,2,2025-12-20,3
566,11,2025-12-20,3
583,2,2025-12-20,3
579,2,2025-12-20,3
537,1,2025-12-21,3
573,1,2025-12-21,3
543,1,2025-12-21,3
576,1,2025-12-21,3
572,1,2025-12-21,3
552,4,2025-12-21,3
584,2,2025-12-21,3
566,9,2025-12-21,3
583,3,2025-12-21,3
579,1,2025-12-21,3
537,1,2025-12-22,3
573,1,2025-12-22,3
543,1,2025-12-22,3
576,1,2025-12-22,3
572,1,2025-12-22,3
552,8,2025-12-22,3
584,3,2025-12-22,3
566,17,2025-12-22,3
583,5,2025-12-22,3
579,3,2025-12-22,3
537,1,2025-12-23,3
573,1,2025-12-23,3
543,2,2025-12-23,3
576,2,2025-12-23,3
572,1,2025-12-23,3
552,8,2025-12-23,3
584,5,2025-12-23,3
566,20,2025-12-23,3
583,5,2025-12-23,3
579,3,2025-12-23,3
537,1,2025-12-24,3
573,1,2025-12-24,3
543,2,2025-12-24,3
576,2,2025-12-24,3
572,1,2025-12-24,3
552,7,2025-12-24,3
584,5,2025-12-24,3
